Date,Type,,Name,Location,State,Area,Wall / Boulder,Link,Grade,,,Danger,Status,,Protection,A.,Notes,Rating,Felt,Suggested
6/2/2022,Boulder,castle-rock-state-park-honey-dipper,Honey Dipper,Castle Rock State Park,CA,Indian Rock,Indian Cracks,Mountain Project,V1+,5,14,-,Sent,TRUE,Pads,,Sent the route using the left arete but didn't realize the whole left side was easy slab.,,,V1+
6/2/2022,Boulder,castle-rock-state-park-santa-cruz-dude,Santa Cruz Dude,Castle Rock State Park,CA,Indian Rock,Santa Cruz Dude,Mountain Project,V3-4,6a+,23,-,Attempt,FALSE,Pads,,"Attempted, couldn't pull hard enough on crimps.",,,V3-4
6/2/2022,Boulder,castle-rock-state-park-raw-honey,Raw Honey,Castle Rock State Park,CA,Indian Rock,Indian Cracks,Mountain Project,V2-3,5+,19,-,Attempt,FALSE,Pads,,"Attempted, but couldn't hold sloped rail.",,,V2-3
6/2/2022,Boulder,castle-rock-state-park-sloper-route,Sloper Route,Castle Rock State Park,CA,Indian Rock,Indian Cracks,Mountain Project,V2,5+,17,-,Sent,TRUE,Pads,,"Didn't realize it was an official route. Took some time to find the right holds, best if you can pinch.",,,V2
6/2/2022,Boulder,castle-rock-state-park-sticky-rice,Sticky Rice,Castle Rock State Park,CA,Indian Rock,Sticky Rice,Mountain Project,V1,5,13,-,Flash,TRUE,Pads,,Great jugs and feet for a quick dunk. More fun with two hands.,,,V1
7/2/2022,Boulder,pinnacles-national-park-original-classic,Original Classic,Pinnacles National Park,CA,West Side,Bouldering Rock,Mountain Project,V2-3,5+,19,-,Sent,TRUE,Pads,,Just a silly dyno route.,,,V2-3
8/6/2022,Boulder,castle-rock-state-park-the-shark,The Shark,Castle Rock State Park,CA,Indian Rock,The Shark,Mountain Project,V1,5,13,PG-13,Attempt,FALSE,Pads,,Attempt. Got too spooked out by the pull-out onto the high section.,,,V1
8/6/2022,Boulder,castle-rock-state-park-the-clam,The Clam,Castle Rock State Park,CA,Indian Rock,Clamshell Boulder,Mountain Project,V4,6b,25,-,Attempt,FALSE,Pads,,Attempted. First time back climbing after COVID. Couldn't figure out the starting position.,,,V4
8/13/2022,Boulder,castle-rock-state-park-bates-problem-(stand),Bates Problem (Stand),Castle Rock State Park,CA,Magoos,Mr. Magoo Boulder,Mountain Project,V5,6c,31,-,Attempt,FALSE,Pads,,Attempt. Couldn't get off the start.,,,V5
8/13/2022,Boulder,castle-rock-state-park-bat-hang,Bat Hang,Castle Rock State Park,CA,Castle Rock Loop,360 Degree Boulder,Mountain Project,V2,5+,17,-,Sent,TRUE,Pads,,Struggled with the mantle but got it eventually. Opted to flip using right jug as opposed to grabbing foot ledge.,,,V2
8/13/2022,Boulder,castle-rock-state-park-warm-up,Warm Up,Castle Rock State Park,CA,Magoos,Mr Magoo Boulder,Mountain Project,V0,4,7,-,Attempt,FALSE,Pads,,Really not sure what I missed here. We're we're attempting to send at the same time.,,,V0
8/13/2022,Boulder,castle-rock-state-park-santa-cruz-dude,Santa Cruz Dude,Castle Rock State Park,CA,Indian Rock,Santa Cruz Dude,Mountain Project,V3-4,6a+,23,-,Attempt,FALSE,Pads,,Attempted again using only one foot. Still couldn't pull on crimps.,,,V3-4
8/13/2022,Boulder,castle-rock-state-park-the-swim,The Swim,Castle Rock State Park,CA,Magoos,Mrs Magoo Boulder,Mountain Project,V3,6a,21,-,Sent,TRUE,Pads,,"Easy bottom section with jugs to a difficult top. There are no holds at the top, just a slippery finish. Nice little beached whale.",,,V3
8/13/2022,Boulder,castle-rock-state-park-mr-magoo,Mr Magoo,Castle Rock State Park,CA,Magoos,Mr Magoo Boulder,Mountain Project,V1-2,5,15,-,Flash,TRUE,Pads,,Very nice easy climb with a bit of a spooky height. But good holds and nice and simple.,,,V1-2
8/13/2022,Boulder,castle-rock-state-park-the-warm-up,The Warm Up,Castle Rock State Park,CA,Magoos,Dog Dish Boulders,Mountain Project,V1,5,13,-,Flash,TRUE,Pads,,Nice and easy slabby route. Doesn't really engage the fingers much so not as great of a warmup as the name suggests. Certainly a padless quick send.,,,V1
8/20/2022,Boulder,stinson-beach-v3/5.11,V3/5.11,Stinson Beach,CA,Stinson Beach,Old Man Boulder,Mountain Project,V3,6a,21,-,Attempt,FALSE,Pads,,"Attempted as boulder, struggled with sloppey starting moves.",,,V3
8/20/2022,Boulder,stinson-beach-southwest-arete,Southwest Arete,Stinson Beach,CA,Stinson Beach,Old Man Boulder,Mountain Project,V1-2,5,15,-,Flash,TRUE,Pads,,Very spooky but great holds out in arete. Certainly wouldn't go if I thought I'd fall.,,,V1-2
